database,Entity,Code,Scenario,Year,projectedpcgdpgrowth,EntityScenario,Method,pcgdpgrowth,growtherror
IMF,High income,WBGroups,1-year projections,2004,1.1173398083681008,High income IMF 1-year projections,IMF,3.0395104559270525,-1.9221706475589517
IMF,Low income,WBGroups,1-year projections,2004,3.630862955425762,Low income IMF 1-year projections,IMF,2.336618268300224,1.2942446871255382
IMF,Lower-middle income,WBGroups,1-year projections,2004,1.7384197481989716,Lower-middle income IMF 1-year projections,IMF,5.510016039978116,-3.7715962917791446
IMF,Upper-middle income,WBGroups,1-year projections,2004,3.347750926990045,Upper-middle income IMF 1-year projections,IMF,7.083146610287772,-3.7353956832977264
IMF,High income,WBGroups,1-year projections,2005,1.0570700011081513,High income IMF 1-year projections,IMF,2.487670360657024,-1.4306003595488725
IMF,Low income,WBGroups,1-year projections,2005,2.5166568882143636,Low income IMF 1-year projections,IMF,4.884904341969023,-2.368247453754659
IMF,Lower-middle income,WBGroups,1-year projections,2005,2.0803565961172055,Lower-middle income IMF 1-year projections,IMF,5.326749277006448,-3.246392680889243
IMF,Upper-middle income,WBGroups,1-year projections,2005,3.8158607514606757,Upper-middle income IMF 1-year projections,IMF,6.936734254644694,-3.1208735031840185
IMF,High income,WBGroups,1-year projections,2006,1.4976915798690982,High income IMF 1-year projections,IMF,2.716626068116046,-1.2189344882469477
IMF,Low income,WBGroups,1-year projections,2006,2.544766773143081,Low income IMF 1-year projections,IMF,4.536190384768866,-1.9914236116257849
IMF,Lower-middle income,WBGroups,1-year projections,2006,3.0687823354492494,Lower-middle income IMF 1-year projections,IMF,5.892379593341479,-2.8235972578922297
IMF,Upper-middle income,WBGroups,1-year projections,2006,4.187171410678836,Upper-middle income IMF 1-year projections,IMF,7.718545368956553,-3.531373958277717
IMF,High income,WBGroups,1-year projections,2007,1.638783778215469,High income IMF 1-year projections,IMF,2.2801266756186767,-0.6413428974032076
IMF,Low income,WBGroups,1-year projections,2007,3.0963579483194614,Low income IMF 1-year projections,IMF,6.190238329280037,-3.0938803809605755
IMF,Lower-middle income,WBGroups,1-year projections,2007,3.4086179207530876,Lower-middle income IMF 1-year projections,IMF,6.092930861875612,-2.684312941122524
IMF,Upper-middle income,WBGroups,1-year projections,2007,5.258064105727023,Upper-middle income IMF 1-year projections,IMF,7.360878456933362,-2.102814351206339
IMF,High income,WBGroups,1-year projections,2008,1.507430878697491,High income IMF 1-year projections,IMF,0.1596515027172174,1.3477793759802736
IMF,Low income,WBGroups,1-year projections,2008,4.712363506182982,Low income IMF 1-year projections,IMF,4.547187821213905,0.16517568496907664
IMF,Lower-middle income,WBGroups,1-year projections,2008,5.36449163367827,Lower-middle income IMF 1-year projections,IMF,4.247147172752852,1.117344460925418
IMF,Upper-middle income,WBGroups,1-year projections,2008,6.537714140986672,Upper-middle income IMF 1-year projections,IMF,4.2240725448433825,2.31364159614329
IMF,High income,WBGroups,1-year projections,2009,0.8745547236367557,High income IMF 1-year projections,IMF,-3.435468573952871,4.310023297589627
IMF,High income,WBGroups,2-year projections,2010,2.0365531987863505,High income IMF 2-year projections,IMF,2.8396334298766757,-0.8030802310903251
IMF,High income,WBGroups,3-year projections,2011,2.207401396059261,High income IMF 3-year projections,IMF,2.0290460076479278,0.17835538841133314
IMF,High income,WBGroups,4-year projections,2012,2.2762349938229676,High income IMF 4-year projections,IMF,0.8526729779117392,1.4235620159112283
IMF,High income,WBGroups,5-year projections,2013,2.1898947298209848,High income IMF 5-year projections,IMF,0.8301676582282536,1.3597270715927312
IMF,Low income,WBGroups,1-year projections,2009,4.901916216042501,Low income IMF 1-year projections,IMF,3.019297257237874,1.8826189588046272
IMF,Low income,WBGroups,2-year projections,2010,5.049897344081433,Low income IMF 2-year projections,IMF,3.672194660599443,1.3777026834819903
IMF,Low income,WBGroups,3-year projections,2011,4.0495962443807265,Low income IMF 3-year projections,IMF,2.665970191549544,1.3836260528311826
IMF,Low income,WBGroups,4-year projections,2012,3.7304481195969075,Low income IMF 4-year projections,IMF,0.7606235537786193,2.9698245658182882
IMF,Low income,WBGroups,5-year projections,2013,3.3679755055975313,Low income IMF 5-year projections,IMF,3.901250778391105,-0.5332752727935737
IMF,Lower-middle income,WBGroups,1-year projections,2009,4.984469201222552,Lower-middle income IMF 1-year projections,IMF,4.500287570839401,0.48418163038315143
IMF,Lower-middle income,WBGroups,2-year projections,2010,5.0253400697252815,Lower-middle income IMF 2-year projections,IMF,5.59447917691982,-0.5691391071945384
IMF,Lower-middle income,WBGroups,3-year projections,2011,4.593459970942071,Lower-middle income IMF 3-year projections,IMF,4.233967391517268,0.3594925794248027
IMF,Lower-middle income,WBGroups,4-year projections,2012,4.998076078261882,Lower-middle income IMF 4-year projections,IMF,2.4876562045639483,2.5104198736979333
IMF,Lower-middle income,WBGroups,5-year projections,2013,5.216950877420423,Lower-middle income IMF 5-year projections,IMF,3.4146592742746673,1.8022916031457559
IMF,Upper-middle income,WBGroups,1-year projections,2009,6.255940641192126,Upper-middle income IMF 1-year projections,IMF,1.405000642363241,4.850939998828885
IMF,Upper-middle income,WBGroups,2-year projections,2010,5.91818874829535,Upper-middle income IMF 2-year projections,IMF,8.141443490621247,-2.2232547423258975
IMF,Upper-middle income,WBGroups,3-year projections,2011,5.5969202968372045,Upper-middle income IMF 3-year projections,IMF,4.898252279818438,0.6986680170187665
IMF,Upper-middle income,WBGroups,4-year projections,2012,5.829198673598945,Upper-middle income IMF 4-year projections,IMF,3.7531378310351915,2.076060842563754
IMF,Upper-middle income,WBGroups,5-year projections,2013,6.0027513702504365,Upper-middle income IMF 5-year projections,IMF,3.56751564659481,2.4352357236556266
IMF,High income,WBGroups,1-year projections,2010,1.1372305602353805,High income IMF 1-year projections,IMF,2.8396334298766757,-1.7024028696412952
IMF,High income,WBGroups,2-year projections,2011,1.2628887817037082,High income IMF 2-year projections,IMF,2.0290460076479278,-0.7661572259442195
IMF,High income,WBGroups,3-year projections,2012,1.871923070684467,High income IMF 3-year projections,IMF,0.8526729779117392,1.0192500927727277
IMF,High income,WBGroups,4-year projections,2013,2.1710559592287737,High income IMF 4-year projections,IMF,0.8301676582282536,1.3408883010005201
IMF,High income,WBGroups,5-year projections,2014,1.9565378604685435,High income IMF 5-year projections,IMF,1.3730603162225297,0.5834775442460138
